"id","alpha3","numeric"
"base.ad","AND",20
"base.ae","ARE",784
"base.af","AFG",4
"base.ag","ATG",28
"base.ai","AIA",660
"base.al","ALB",8
"base.am","ARM",51
"base.ao","AGO",24
"base.aq","ATA",10
"base.ar","ARG",32
"base.as","ASM",16
"base.at","AUT",40
"base.au","AUS",36
"base.aw","ABW",533
"base.ax","ALA",248
"base.az","AZE",31
"base.ba","BIH",70
"base.bb","BRB",52
"base.bd","BGD",50
"base.be","BEL",56
"base.bf","BFA",854
"base.bg","BGR",100
"base.bh","BHR",48
"base.bi","BDI",108
"base.bj","BEN",204
"base.bm","BMU",60
"base.bn","BRN",96
"base.bo","BOL",68
"base.bq","BES",535
"base.br","BRA",76
"base.bs","BHS",44
"base.bt","BTN",64
"base.bv","BVT",74
"base.bw","BWA",72
"base.by","BLR",112
"base.bz","BLZ",84
"base.ca","CAN",124
"base.cc","CCK",166
"base.cd","COD",180
"base.cf","CAF",140
"base.cg","COG",178
"base.ch","CHE",756
"base.ci","CIV",384
"base.ck","COK",184
"base.cl","CHL",152
"base.cm","CMR",120
"base.cn","CHN",156
"base.co","COL",170
"base.cr","CRI",188
"base.cu","CUB",192
"base.cv","CPV",132
"base.cw","CUW",531
"base.cx","CXR",162
"base.cy","CYP",196
"base.cz","CZE",203
"base.de","DEU",276
"base.dj","DJI",262
"base.dk","DNK",208
"base.dm","DMA",212
"base.do","DOM",214
"base.dz","DZA",12
"base.ec","ECU",218
"base.ee","EST",233
"base.eg","EGY",818
"base.eh","ESH",732
"base.er","ERI",232
"base.es","ESP",724
"base.et","ETH",231
"base.fi","FIN",246
"base.fj","FJI",242
"base.fk","FLK",238
"base.fm","FSM",583
"base.fr","FRA",250
"base.ga","GAB",266
"base.uk","GBR",826
"base.gd","GRD",308
"base.ge","GEO",268
"base.gf","GUF",254
"base.gg","GGY",831
"base.gh","GHA",288
"base.gi","GIB",292
"base.gl","GRL",304
"base.gm","GMB",270
"base.gn","GIN",324
"base.gp","GLP",312
"base.gq","GNQ",226
"base.gr","GRC",300
"base.gs","SGS",239
"base.gt","GTM",320
"base.gu","GUM",316
"base.gw","GNB",624
"base.gy","GUY",328
"base.hk","HKG",344
"base.hm","HMD",334
"base.hn","HND",340
"base.hr","HRV",191
"base.ht","HTI",332
"base.hu","HUN",348
"base.id","IDN",360
"base.ie","IRL",372
"base.il","ISR",376
"base.im","IMN",833
"base.in","IND",356
"base.io","IOT",86
"base.iq","IRQ",368
"base.ir","IRN",364
"base.is","ISL",352
"base.it","ITA",380
"base.je","JEY",832
"base.jm","JAM",388
"base.jo","JOR",400
"base.jp","JPN",392
"base.ke","KEN",404
"base.kg","KGZ",417
"base.kh","KHM",116
"base.ki","KIR",296
"base.km","COM",174
"base.kn","KNA",659
"base.kp","PRK",408
"base.kr","KOR",410
"base.kw","KWT",414
"base.ky","CYM",136
"base.kz","KAZ",398
"base.la","LAO",418
"base.lb","LBN",422
"base.lc","LCA",662
"base.li","LIE",438
"base.lk","LKA",144
"base.lr","LBR",430
"base.ls","LSO",426
"base.lt","LTU",440
"base.lu","LUX",442
"base.lv","LVA",428
"base.ly","LBY",434
"base.ma","MAR",504
"base.mc","MCO",492
"base.md","MDA",498
"base.me","MNE",499
"base.mf","MAF",663
"base.mg","MDG",450
"base.mh","MHL",584
"base.mk","MKD",807
"base.ml","MLI",466
"base.mm","MMR",104
"base.mn","MNG",496
"base.mo","MAC",446
"base.mp","MNP",580
"base.mq","MTQ",474
"base.mr","MRT",478
"base.ms","MSR",500
"base.mt","MLT",470
"base.mu","MUS",480
"base.mv","MDV",462
"base.mw","MWI",454
"base.mx","MEX",484
"base.my","MYS",458
"base.mz","MOZ",508
"base.na","NAM",516
"base.nc","NCL",540
"base.ne","NER",562
"base.nf","NFK",574
"base.ng","NGA",566
"base.ni","NIC",558
"base.nl","NLD",528
"base.no","NOR",578
"base.np","NPL",524
"base.nt","NRU",520
"base.nu","NIU",570
"base.nz","NZL",554
"base.om","OMN",512
"base.pa","PAN",591
"base.pe","PER",604
"base.pf","PYF",258
"base.pg","PNG",598
"base.ph","PHL",608
"base.pk","PAK",586
"base.pl","POL",616
"base.pm","SPM",666
"base.pn","PCN",612
"base.pr","PRI",630
"base.ps","PSE",275
"base.pt","PRT",620
"base.pw","PLW",585
"base.py","PRY",600
"base.qa","QAT",634
"base.re","REU",638
"base.ro","ROU",642
"base.rs","SRB",688
"base.ru","RUS",643
"base.rw","RWA",646
"base.sa","SAU",682
"base.sb","SLB",90
"base.sc","SYC",690
"base.sd","SDN",729
"base.se","SWE",752
"base.sg","SGP",702
"base.sh","SHN",654
"base.si","SVN",705
"base.sk","SVK",703
"base.sl","SLE",694
